foreign,foreigncountry_cleaned,shpmtyear,country_name,country_iso3,cleaned_name,cleaned_ID,cleaned_foreign
Ariana Niazi Detergents Mfg. Co.,Afghanistan,2020.0,Afghanistan,AFG,Ariana Niazi Detergents Mfg Co,AFG_64,Ariana Niazi Detergents Mfg Co
Ilmi Ltd.,Afghanistan,2019.0,Afghanistan,AFG,Ilmi,AFG_65,Ilmi
Ilmi Ltd.,Afghanistan,2020.0,Afghanistan,AFG,Ilmi,AFG_65,Ilmi
Nasrat Khpalwak Licence Number,Afghanistan,2019.0,Afghanistan,AFG,Nasrat Khpalwak Licence Number,AFG_66,Nasrat Khpalwak Licence Number
Ahmad Printing Press,Afghanistan,2020.0,Afghanistan,AFG,Ahmad Printing Press,AFG_67,Ahmad Printing Press
Megaviation Fzc,Afghanistan,2020.0,Afghanistan,AFG,Megaviation Fzc,AFG_68,Megaviation Fzc
Wadoodzada,Afghanistan,2020.0,Afghanistan,AFG,Wadoodzada,AFG_69,Wadoodzada
Usman Haroon,Afghanistan,2019.0,Afghanistan,AFG,Usman Haroon,AFG_7,Usman Haroon
Usman Haroon,Afghanistan,2020.0,Afghanistan,AFG,Usman Haroon,AFG_7,Usman Haroon
Hazrat Shah Bilal,Afghanistan,2020.0,Afghanistan,AFG,Hazrat Shah Bilal,AFG_70,Hazrat Shah Bilal
Hazrat Shah Bilal,Afghanistan,2019.0,Afghanistan,AFG,Hazrat Shah Bilal,AFG_70,Hazrat Shah Bilal
Sudaish Afghan International Transit,Afghanistan,2020.0,Afghanistan,AFG,Sudaish Afghan International Transit,AFG_71,Sudaish Afghan International Transit
Sameed,Afghanistan,2020.0,Afghanistan,AFG,Sameed,AFG_72,Sameed
Sameed,Afghanistan,2019.0,Afghanistan,AFG,Sameed,AFG_72,Sameed
Gulshan Shadab Detergent Co.,Afghanistan,2020.0,Afghanistan,AFG,Gulshan Shadab Detergent Co,AFG_73,Gulshan Shadab Detergent Co
Gulshan Shadab Detergent Co.,Afghanistan,2019.0,Afghanistan,AFG,Gulshan Shadab Detergent Co,AFG_73,Gulshan Shadab Detergent Co
Green Valley,Afghanistan,2020.0,Afghanistan,AFG,Green Valley,AFG_74,Green Valley
Green Valley,Afghanistan,2019.0,Afghanistan,AFG,Green Valley,AFG_74,Green Valley
French Medical Institute For Children Kabul,Afghanistan,2019.0,Afghanistan,AFG,French Medical Institute For Children Kabul,AFG_75,French Medical Institute For Children Kabul
French Medical Institute For Children Kabul,Afghanistan,2020.0,Afghanistan,AFG,French Medical Institute For Children Kabul,AFG_75,French Medical Institute For Children Kabul
Pak Afghan Madina Ltd.,Afghanistan,2020.0,Afghanistan,AFG,Pak Afghan Madina,AFG_76,Pak Afghan Madina
Pak Afghan Madina Ltd.,Afghanistan,2019.0,Afghanistan,AFG,Pak Afghan Madina,AFG_76,Pak Afghan Madina
Wahed Usman Ltd.,Afghanistan,2020.0,Afghanistan,AFG,Wahed Usman,AFG_77,Wahed Usman
Wahed Usman Ltd.,Afghanistan,2019.0,Afghanistan,AFG,Wahed Usman,AFG_77,Wahed Usman
Indonesian Embassy,Afghanistan,2019.0,Afghanistan,AFG,Indonesian Embassy,AFG_78,Indonesian Embassy
Artiman Tarabar Toos International Tpt,Afghanistan,2020.0,Afghanistan,AFG,Artiman Tarabar Toos International Tpt,AFG_79,Artiman Tarabar Toos International Tpt
